baseline,lambda_cost,eta_cost,gamma_cost,nuisance_mode,mean_actionable_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
JSD,1.0,1.0,0.1,total,-0.61539680898694,-1.3351442417547517,0.1893054642617737,0.3,False
QK-MMD PauliXZ,1.0,1.0,0.1,total,0.5151362186806119,-0.20534006199712165,1.3808782324670945,0.5,False
Energy distance,1.0,2.0,0.0,total,1.3768229166666666,0.40989583333333335,2.3755208333333333,0.7,True
MMD-RBF,1.0,2.0,0.0,total,0.025520833333333333,-0.8330794270833334,0.9937825520833329,0.5,False
KS-max,1.0,2.0,0.0,total,-0.07239583333333334,-1.32578125,1.515384114583333,0.4,False
JSD,1.0,2.0,0.0,total,1.2833333333333334,0.37184895833333337,2.17474609375,0.7666666666666667,True
QK-MMD PauliXZ,1.0,2.0,0.0,total,0.13515625,-0.7291927083333333,1.0557356770833333,0.5,False
Energy distance,1.0,2.0,0.01,total,1.2110368887359897,0.24378118514051902,2.2098008304090477,0.6666666666666666,True
MMD-RBF,1.0,2.0,0.01,total,-0.10224972023205695,-0.9604548948185159,0.8661652424295258,0.4666666666666667,False
KS-max,1.0,2.0,0.01,total,-0.2351440743654579,-1.4877217701451435,1.3519293504751997,0.4,False
JSD,1.0,2.0,0.01,total,1.1167936524346394,0.20593138843485492,2.008214143780803,0.7333333333333333,True
QK-MMD PauliXZ,1.0,2.0,0.01,total,0.14648758020139446,-0.7185219700387057,1.0672122881163744,0.5,False
Energy distance,1.0,2.0,0.05,total,0.547892777013282,-0.4221907425977503,1.5468105476870544,0.6333333333333333,False
MMD-RBF,1.0,2.0,0.05,total,-0.6133319344936173,-1.4685053708814326,0.3520724003380934,0.36666666666666664,False
KS-max,1.0,2.0,0.05,total,-0.8861370384939559,-2.1354585803757415,0.6958904930499992,0.23333333333333334,False
JSD,1.0,2.0,0.05,total,0.4506349288398631,-0.46067903404237603,1.3387894904743196,0.5333333333333333,False
QK-MMD PauliXZ,1.0,2.0,0.05,total,0.19181290100697265,-0.6714492763888605,1.111145291628127,0.5,False
Energy distance,1.0,2.0,0.1,total,-0.2810373626401029,-1.251713460370549,0.7197399168614841,0.4,False
MMD-RBF,1.0,2.0,0.1,total,-1.2521847023205674,-2.1022622878778976,-0.2887454898253198,0.2,False
KS-max,1.0,2.0,0.1,total,-1.699878243654578,-2.945173008796992,-0.11993520752016563,0.16666666666666666,False
JSD,1.0,2.0,0.1,total,-0.3820634756536068,-1.2918492826771695,0.5068049842647061,0.4,False
QK-MMD PauliXZ,1.0,2.0,0.1,total,0.24846955201394538,-0.6129481975729189,1.1666107903730774,0.5,False
Energy distance,2.0,0.0,0.0,total,4.21015625,3.16740234375,5.198450520833333,0.9666666666666667,True
MMD-RBF,2.0,0.0,0.0,total,2.3588541666666667,1.5439908854166666,3.237513020833333,0.8,True
KS-max,2.0,0.0,0.0,total,1.3609375,0.5648111979166667,2.3455859375,0.7,True
JSD,2.0,0.0,0.0,total,1.25,0.3856705729166667,2.3107161458333327,0.7333333333333333,True
QK-MMD PauliXZ,2.0,0.0,0.0,total,0.7018229166666666,-0.17292968749999998,1.7179947916666662,0.5666666666666667,False
Energy distance,2.0,0.0,0.01,total,4.044370222069323,3.0000501600309297,5.032954581208252,0.9666666666666667,True
MMD-RBF,2.0,0.0,0.01,total,2.2310836131012763,1.4152253722263963,3.1110624561651967,0.7666666666666667,True
KS-max,2.0,0.0,0.01,total,1.1981892589678758,0.4022259795792749,2.182631305683701,0.6666666666666666,True
JSD,2.0,0.0,0.01,total,1.083460319101306,0.2187534225344765,2.143637224514068,0.7,True
QK-MMD PauliXZ,2.0,0.0,0.01,total,0.7131542468680613,-0.16197405290461617,1.729089330583671,0.5666666666666667,False
Energy distance,2.0,0.0,0.05,total,3.3812261103466152,2.333740829186475,4.371199699293517,0.9333333333333333,True
MMD-RBF,2.0,0.0,0.05,total,1.7200013988397163,0.9063667467357446,2.59879580312115,0.7666666666666667,True
KS-max,2.0,0.0,0.05,total,0.5471962948393775,-0.24712149835791697,1.530785383272998,0.5333333333333333,False
JSD,2.0,0.0,0.05,total,0.4173015955065298,-0.44905637672687587,1.4794514876331812,0.4666666666666667,False
QK-MMD PauliXZ,2.0,0.0,0.05,total,0.7584795676736392,-0.1181280830096271,1.7744859409803808,0.6,False
Energy distance,2.0,0.0,0.1,total,2.5522959706932307,1.50102031875037,3.543982399414982,0.8666666666666667,True
MMD-RBF,2.0,0.0,0.1,total,1.0811486310127658,0.2679766438922183,1.9601048966368544,0.7333333333333333,True
KS-max,2.0,0.0,0.1,total,-0.26654491032124494,-1.0611634113449155,0.7151584689984928,0.4666666666666667,False
JSD,2.0,0.0,0.1,total,-0.41539680898694004,-1.2859687631506629,0.6472646339181422,0.36666666666666664,False
QK-MMD PauliXZ,2.0,0.0,0.1,total,0.8151362186806121,-0.06307084430204131,1.8317457219579079,0.6,False
Energy distance,2.0,0.25,0.0,total,4.118489583333333,3.0848567708333334,5.1018619791666655,0.9666666666666667,True
MMD-RBF,2.0,0.25,0.0,total,2.183854166666667,1.3908723958333333,3.0468815104166667,0.8333333333333334,True
KS-max,2.0,0.25,0.0,total,1.2192708333333333,0.4028385416666667,2.2547005208333335,0.6666666666666666,True
JSD,2.0,0.25,0.0,total,1.3083333333333333,0.47082682291666667,2.32240234375,0.7333333333333333,True
QK-MMD PauliXZ,2.0,0.25,0.0,total,0.63515625,-0.19903645833333325,1.6021158854166662,0.5,False
Energy distance,2.0,0.25,0.01,total,3.952703555402656,2.918058666385536,4.936924020975898,0.9666666666666667,True
MMD-RBF,2.0,0.25,0.01,total,2.0560836131012765,1.2627603366776705,2.9196180286211915,0.8,True
KS-max,2.0,0.25,0.01,total,1.0565225923012087,0.24055515137015407,2.0918534978126715,0.6666666666666666,True
JSD,2.0,0.25,0.01,total,1.1417936524346393,0.3044694276602842,2.156018485590036,0.7,True
QK-MMD PauliXZ,2.0,0.25,0.01,total,0.6464875802013944,-0.18787098197467947,1.613121968616481,0.5,False
Energy distance,2.0,0.25,0.05,total,3.2895594436799485,2.248632629315219,4.275036854046834,0.9333333333333333,True
MMD-RBF,2.0,0.25,0.05,total,1.5450013988397162,0.7510405912589097,2.4086359437247586,0.7666666666666667,True
KS-max,2.0,0.25,0.05,total,0.4055296281727108,-0.40898917078011926,1.4397363817051467,0.4666666666666667,False
JSD,2.0,0.25,0.05,total,0.47563492883986314,-0.36274440044532835,1.489912749826515,0.5,False
QK-MMD PauliXZ,2.0,0.25,0.05,total,0.6918129010069728,-0.14444150369358735,1.6602694662868058,0.5,False
Energy distance,2.0,0.25,0.1,total,2.460629304026564,1.4154765378246956,3.4482917415734167,0.8333333333333334,True
MMD-RBF,2.0,0.25,0.1,total,0.9061486310127655,0.11381224804732473,1.7675856652517299,0.7,True
KS-max,2.0,0.25,0.1,total,-0.4082115769879117,-1.2205256455337221,0.6224192106436431,0.4,False
JSD,2.0,0.25,0.1,total,-0.3570634756536067,-1.1975942276465161,0.6584112496670947,0.3333333333333333,False
QK-MMD PauliXZ,2.0,0.25,0.1,total,0.7484695520139455,-0.09030110309756118,1.7190965061146801,0.5333333333333333,False
Energy distance,2.0,0.5,0.0,total,4.026822916666666,2.990625,5.0237109375,0.9666666666666667,True
MMD-RBF,2.0,0.5,0.0,total,2.0088541666666666,1.2338216145833334,2.8617317708333334,0.8333333333333334,True
KS-max,2.0,0.5,0.0,total,1.0776041666666667,0.22731770833333337,2.1619921875,0.6,True
JSD,2.0,0.5,0.0,total,1.3666666666666667,0.5380208333333333,2.3304752604166667,0.7333333333333333,True
QK-MMD PauliXZ,2.0,0.5,0.0,total,0.5684895833333333,-0.23620442708333333,1.500013020833333,0.5,False
Energy distance,2.0,0.5,0.01,total,3.861036888735989,2.8252386669584957,4.858529988432219,0.9666666666666667,True
MMD-RBF,2.0,0.5,0.01,total,1.8810836131012763,1.105631052775456,2.733991737045371,0.8,True
KS-max,2.0,0.5,0.01,total,0.9148559256345421,0.06609560232687023,1.9983569498042542,0.6,True
JSD,2.0,0.5,0.01,total,1.2001269857679726,0.37144083949612383,2.1638017892057992,0.7,True
QK-MMD PauliXZ,2.0,0.5,0.01,total,0.5798209135347279,-0.22535283311705656,1.5116384726114171,0.5,False
Energy distance,2.0,0.5,0.05,total,3.1978927770132817,2.1606244637883254,4.19782226149002,0.9333333333333333,True
MMD-RBF,2.0,0.5,0.05,total,1.3700013988397162,0.5934940791016707,2.2219243511958098,0.7666666666666667,True
KS-max,2.0,0.5,0.05,total,0.2638629615060441,-0.5875460390438627,1.3460460035247277,0.4666666666666667,False
JSD,2.0,0.5,0.05,total,0.5339682621731965,-0.29309708671560897,1.498856444808819,0.5333333333333333,False
QK-MMD PauliXZ,2.0,0.5,0.05,total,0.625146234340306,-0.1818196404896687,1.5570142810966887,0.5,False
Energy distance,2.0,0.5,0.1,total,2.3689626373598975,1.330462173786179,3.3712231554347576,0.8333333333333334,True
MMD-RBF,2.0,0.5,0.1,total,0.7311486310127655,-0.045578212764133694,1.5832959129135802,0.7,False
KS-max,2.0,0.5,0.1,total,-0.5498782436545783,-1.4002358661513525,0.5294069589862966,0.3333333333333333,False
JSD,2.0,0.5,0.1,total,-0.2987301423202735,-1.127878805532848,0.6684234202779088,0.36666666666666664,False
QK-MMD PauliXZ,2.0,0.5,0.1,total,0.6818028853472786,-0.12612306285537003,1.6147458332485596,0.5333333333333333,False
Energy distance,2.0,1.0,0.0,total,3.843489583333333,2.78798828125,4.868782552083333,0.9666666666666667,True
MMD-RBF,2.0,1.0,0.0,total,1.6588541666666667,0.8742122395833334,2.537812499999999,0.8333333333333334,True
KS-max,2.0,1.0,0.0,total,0.7942708333333334,-0.16826171874999998,1.991946614583333,0.5333333333333333,False
JSD,2.0,1.0,0.0,total,1.4833333333333334,0.6348893229166667,2.391692708333333,0.7666666666666667,True
QK-MMD PauliXZ,2.0,1.0,0.0,total,0.43515625,-0.3507942708333333,1.3479361979166664,0.5,False
Energy distance,2.0,1.0,0.01,total,3.677703555402656,2.6218126570897122,4.7029720141412215,0.9666666666666667,True
MMD-RBF,2.0,1.0,0.01,total,1.5310836131012766,0.7463442325338101,2.4097050393185744,0.7666666666666667,True
KS-max,2.0,1.0,0.01,total,0.6315225923012089,-0.329703178837519,1.8281911373617348,0.5,False
JSD,2.0,1.0,0.01,total,1.3167936524346393,0.4688663957343535,2.225212812506631,0.7333333333333333,True
QK-MMD PauliXZ,2.0,1.0,0.01,total,0.4464875802013946,-0.3396603067171779,1.3594415547524548,0.5,False
Energy distance,2.0,1.0,0.05,total,3.0145594436799485,1.9560739283283668,4.043557869008795,0.8666666666666667,True
MMD-RBF,2.0,1.0,0.05,total,1.0200013988397163,0.23539284375974,1.8994303914919826,0.7,True
KS-max,2.0,1.0,0.05,total,-0.019470371827289206,-0.9775328979622183,1.1756920253439933,0.4,False
JSD,2.0,1.0,0.05,total,0.6506349288398634,-0.19939802078116925,1.5588703699975157,0.5333333333333333,False
QK-MMD PauliXZ,2.0,1.0,0.05,total,0.4918129010069727,-0.2946017387085595,1.4049083388163606,0.5,False
Energy distance,2.0,1.0,0.1,total,2.1856293040265644,1.1225036489389508,3.217075271824956,0.8,True
MMD-RBF,2.0,1.0,0.1,total,0.3811486310127655,-0.40060396029232664,1.2578456807326095,0.5333333333333333,False
KS-max,2.0,1.0,0.1,total,-0.8332115769879115,-1.7893454654178251,0.35889311029929816,0.3333333333333333,False
JSD,2.0,1.0,0.1,total,-0.18206347565360678,-1.0313253192804892,0.7274483133091314,0.4,False
QK-MMD PauliXZ,2.0,1.0,0.1,total,0.5484695520139454,-0.23941929566591466,1.4618945968655164,0.5333333333333333,False
Energy distance,2.0,2.0,0.0,total,3.476822916666667,2.277213541666667,4.661725260416667,0.8333333333333334,True
MMD-RBF,2.0,2.0,0.0,total,0.9588541666666667,0.05078125,1.9599218749999996,0.6333333333333333,True
KS-max,2.0,2.0,0.0,total,0.22760416666666666,-1.0458333333333334,1.7416731770833334,0.43333333333333335,False
JSD,2.0,2.0,0.0,total,1.7166666666666666,0.7218684895833334,2.687005208333333,0.7666666666666667,True
QK-MMD PauliXZ,2.0,2.0,0.0,total,0.16848958333333333,-0.7393619791666667,1.1226757812499997,0.4666666666666667,False
Energy distance,2.0,2.0,0.01,total,3.31103688873599,2.111886879689743,4.495778104293094,0.8333333333333334,True
MMD-RBF,2.0,2.0,0.01,total,0.8310836131012767,-0.07604735075301039,1.8326490930127954,0.6,False
KS-max,2.0,2.0,0.01,total,0.06485592563454214,-1.2078358326333332,1.5784342594445515,0.43333333333333335,False
JSD,2.0,2.0,0.01,total,1.550126985767973,0.5566024214105671,2.5201966852062005,0.7333333333333333,True
QK-MMD PauliXZ,2.0,2.0,0.01,total,0.17982091353472787,-0.7283837707927554,1.1345879267785106,0.4666666666666667,False
Energy distance,2.0,2.0,0.05,total,2.6478927770132814,1.4473829250843944,3.832599688988294,0.8,True
MMD-RBF,2.0,2.0,0.05,total,0.32000139883971607,-0.5845805478643549,1.3183493846624523,0.5333333333333333,False
KS-max,2.0,2.0,0.05,total,-0.5861370384939557,-1.856698907352892,0.9241407684050883,0.3,False
JSD,2.0,2.0,0.05,total,0.8839682621731965,-0.10932519703306515,1.8542423195411246,0.6,False
QK-MMD PauliXZ,2.0,2.0,0.05,total,0.22514623434030598,-0.6833490179671983,1.1807997363532872,0.4666666666666667,False
Energy distance,2.0,2.0,0.1,total,1.8189626373598977,0.6151049542682498,3.0009220342265888,0.7,True
MMD-RBF,2.0,2.0,0.1,total,-0.3188513689872342,-1.2231991677274832,0.6782092691435827,0.43333333333333335,False
KS-max,2.0,2.0,0.1,total,-1.399878243654578,-2.665201051732545,0.10642728292695446,0.26666666666666666,False
JSD,2.0,2.0,0.1,total,0.05126985767972643,-0.9411174668866735,1.024188367433157,0.5,False
QK-MMD PauliXZ,2.0,2.0,0.1,total,0.28180288534727876,-0.6258228458651478,1.2388934021766858,0.4666666666666667,False
Energy distance,0.0,0.0,0.0,excess_clipped,0.01015625,-0.5654036458333332,0.6521093749999997,0.4,False
MMD-RBF,0.0,0.0,0.0,excess_clipped,0.4921875,-0.16745442708333333,1.3018424479166664,0.5,False
KS-max,0.0,0.0,0.0,excess_clipped,0.7609375,-0.04375,1.890130208333333,0.5,False
JSD,0.0,0.0,0.0,excess_clipped,0.38333333333333336,-0.26875651041666665,1.2677213541666665,0.6,False
QK-MMD PauliXZ,0.0,0.0,0.0,excess_clipped,0.63515625,-0.12395833333333334,1.593509114583333,0.5,False
Energy distance,0.0,0.0,0.01,excess_clipped,-0.15562977793067698,-0.7324579632218626,0.48776928835058997,0.36666666666666664,False
MMD-RBF,0.0,0.0,0.01,excess_clipped,0.36441694643461003,-0.295402019694039,1.173474059582489,0.4666666666666667,False
KS-max,0.0,0.0,0.01,excess_clipped,0.5981892589678754,-0.20569834095449285,1.7270291381002405,0.4666666666666667,False
JSD,0.0,0.0,0.01,excess_clipped,0.2167936524346394,-0.4356288057437933,1.1019860493908098,0.5,False
QK-MMD PauliXZ,0.0,0.0,0.01,excess_clipped,0.6464875802013947,-0.11321006242846753,1.6052206450790354,0.5,False
Energy distance,0.0,0.0,0.05,excess_clipped,-0.8187738896533847,-1.3986595788050276,-0.17152662232005025,0.23333333333333334,False
MMD-RBF,0.0,0.0,0.05,excess_clipped,-0.1466652678269505,-0.8061730192241957,0.66326076896461,0.3333333333333333,False
KS-max,0.0,0.0,0.05,excess_clipped,-0.052803705160622626,-0.8566280533368555,1.0762575800977836,0.23333333333333334,False
JSD,0.0,0.0,0.05,excess_clipped,-0.44936507116013674,-1.103237984540237,0.4348411822170309,0.2,False
QK-MMD PauliXZ,0.0,0.0,0.05,excess_clipped,0.6918129010069729,-0.0693705809941409,1.6512371536935335,0.5333333333333333,False
Energy distance,0.0,0.0,0.1,excess_clipped,-1.6477040293067693,-2.230584549601947,-0.9983264203412789,0.13333333333333333,False
MMD-RBF,0.0,0.0,0.1,excess_clipped,-0.785518035653901,-1.444922205712491,0.02466727394021697,0.2,False
KS-max,0.0,0.0,0.1,excess_clipped,-0.866544910321245,-1.6676454147224142,0.2587469361430072,0.16666666666666666,False
JSD,0.0,0.0,0.1,excess_clipped,-1.2820634756536067,-1.9356282946164625,-0.39942018099647275,0.06666666666666667,False
QK-MMD PauliXZ,0.0,0.0,0.1,excess_clipped,0.7484695520139452,-0.016242034025888204,1.7089782562922036,0.5333333333333333,False
Energy distance,0.0,0.25,0.0,excess_clipped,-0.03984375,-0.6093815104166667,0.5914388020833329,0.4,False
MMD-RBF,0.0,0.25,0.0,excess_clipped,0.35885416666666664,-0.30313151041666664,1.1679752604166667,0.43333333333333335,False
KS-max,0.0,0.25,0.0,excess_clipped,0.6776041666666667,-0.16069010416666665,1.8781445312499998,0.5,False
JSD,0.0,0.25,0.0,excess_clipped,0.44166666666666665,-0.1989778645833333,1.2880533854166663,0.5666666666666667,False
QK-MMD PauliXZ,0.0,0.25,0.0,excess_clipped,0.5518229166666667,-0.19479166666666667,1.4979231770833332,0.5,False
Energy distance,0.0,0.25,0.01,excess_clipped,-0.2056297779306769,-0.775624948773212,0.42611883947636064,0.3333333333333333,False
MMD-RBF,0.0,0.25,0.01,excess_clipped,0.2310836131012767,-0.4304397442377503,1.0390743443143666,0.43333333333333335,False
KS-max,0.0,0.25,0.01,excess_clipped,0.5148559256345422,-0.3225957303941665,1.7145390621094359,0.4666666666666667,False
JSD,0.0,0.25,0.01,excess_clipped,0.27512698576797273,-0.3652807209688024,1.1225311534874471,0.4666666666666667,False
QK-MMD PauliXZ,0.0,0.25,0.01,excess_clipped,0.5631542468680614,-0.18391130427644414,1.5094978983940612,0.5,False
Energy distance,0.0,0.25,0.05,excess_clipped,-0.8687738896533848,-1.440423960493422,-0.23451977940258822,0.2,False
MMD-RBF,0.0,0.25,0.05,excess_clipped,-0.27999860116028386,-0.940358092682892,0.5280447220046671,0.2,False
KS-max,0.0,0.25,0.05,excess_clipped,-0.13613703849395595,-0.9722142701523699,1.0601171855471814,0.16666666666666666,False
JSD,0.0,0.25,0.05,excess_clipped,-0.3910317378268034,-1.031069949106823,0.45795439366755675,0.26666666666666666,False
QK-MMD PauliXZ,0.0,0.25,0.05,excess_clipped,0.6084795676736395,-0.14154895751608987,1.554810319127093,0.5,False
Energy distance,0.0,0.25,0.1,excess_clipped,-1.6977040293067693,-2.271070183812234,-1.0595896713108424,0.13333333333333333,False
MMD-RBF,0.0,0.25,0.1,excess_clipped,-0.9188513689872343,-1.577811322975011,-0.11213740877463763,0.16666666666666666,False
KS-max,0.0,0.25,0.1,excess_clipped,-0.9498782436545784,-1.783262921783821,0.24313740247451163,0.16666666666666666,False
JSD,0.0,0.25,0.1,excess_clipped,-1.2237301423202738,-1.8622683663745796,-0.37631282476801486,0.1,False
QK-MMD PauliXZ,0.0,0.25,0.1,excess_clipped,0.6651362186806118,-0.08658568314032179,1.612815882886818,0.5,False
Energy distance,0.0,0.5,0.0,excess_clipped,-0.08984375,-0.6617578125,0.5565169270833332,0.3333333333333333,False
MMD-RBF,0.0,0.5,0.0,excess_clipped,0.22552083333333334,-0.44427734375,1.041692708333333,0.4666666666666667,False
KS-max,0.0,0.5,0.0,excess_clipped,0.5942708333333333,-0.29921875,1.864075520833333,0.4666666666666667,False
JSD,0.0,0.5,0.0,excess_clipped,0.5,-0.1518359375,1.3211328124999995,0.5333333333333333,False
QK-MMD PauliXZ,0.0,0.5,0.0,excess_clipped,0.46848958333333335,-0.2737044270833333,1.406790364583333,0.4666666666666667,False
Energy distance,0.0,0.5,0.01,excess_clipped,-0.2556297779306769,-0.8280470863170001,0.3909338602934585,0.3,False
MMD-RBF,0.0,0.5,0.01,excess_clipped,0.09775027976794333,-0.5719434462778656,0.9132571612412341,0.4,False
KS-max,0.0,0.5,0.01,excess_clipped,0.4315225923012089,-0.4610379462064824,1.7003047899044843,0.4,False
JSD,0.0,0.5,0.01,excess_clipped,0.3334603191013061,-0.3171392935581504,1.1531069096708304,0.5,False
QK-MMD PauliXZ,0.0,0.5,0.01,excess_clipped,0.47982091353472806,-0.2631122528451647,1.4182383822548321,0.4666666666666667,False
Energy distance,0.0,0.5,0.05,excess_clipped,-0.9187738896533848,-1.4932343453560266,-0.27169978391056115,0.2,False
MMD-RBF,0.0,0.5,0.05,excess_clipped,-0.41333193449361716,-1.0808924251145704,0.4010937839642087,0.23333333333333334,False
KS-max,0.0,0.5,0.05,excess_clipped,-0.2194703718272893,-1.1090181609426897,1.046811227021748,0.2,False
JSD,0.0,0.5,0.05,excess_clipped,-0.3326984044934701,-0.9837599046476677,0.4867432561581225,0.3,False
QK-MMD PauliXZ,0.0,0.5,0.05,excess_clipped,0.525146234340306,-0.219498104325515,1.4646270145196998,0.4666666666666667,False
Energy distance,0.0,0.5,0.1,excess_clipped,-1.7477040293067694,-2.324710056886038,-1.099535394653387,0.16666666666666666,False
MMD-RBF,0.0,0.5,0.1,excess_clipped,-1.0521847023205677,-1.7167417931731808,-0.2384231596372367,0.13333333333333333,False
KS-max,0.0,0.5,0.1,excess_clipped,-1.0332115769879118,-1.9203589380751946,0.2290787911885901,0.13333333333333333,False
JSD,0.0,0.5,0.1,excess_clipped,-1.1653968089869404,-1.814706695631593,-0.34650796327072564,0.16666666666666666,False
QK-MMD PauliXZ,0.0,0.5,0.1,excess_clipped,0.5818028853472784,-0.1642580577349388,1.5224337986409369,0.5,False
Energy distance,0.0,1.0,0.0,excess_clipped,-0.18984375,-0.83125,0.5127669270833333,0.36666666666666664,False
MMD-RBF,0.0,1.0,0.0,excess_clipped,-0.04114583333333333,-0.7604166666666666,0.8122460937499999,0.3333333333333333,False
KS-max,0.0,1.0,0.0,excess_clipped,0.4276041666666667,-0.6067708333333334,1.8534374999999992,0.43333333333333335,False
JSD,0.0,1.0,0.0,excess_clipped,0.6166666666666667,-0.10548828124999998,1.42265625,0.5666666666666667,False
QK-MMD PauliXZ,0.0,1.0,0.0,excess_clipped,0.30182291666666666,-0.4682356770833333,1.2403645833333334,0.5,False
Energy distance,0.0,1.0,0.01,excess_clipped,-0.3556297779306769,-0.9973089979672503,0.3462777196838821,0.23333333333333334,False
MMD-RBF,0.0,1.0,0.01,excess_clipped,-0.16891638689872332,-0.8876979738342767,0.6836234566067448,0.3333333333333333,False
KS-max,0.0,1.0,0.01,excess_clipped,0.26485592563454224,-0.7686395559792292,1.689348822111058,0.4,False
JSD,0.0,1.0,0.01,excess_clipped,0.4501269857679728,-0.2716565604803261,1.2563462965351981,0.5333333333333333,False
QK-MMD PauliXZ,0.0,1.0,0.01,excess_clipped,0.31315424686806137,-0.4571722498578582,1.2516192874451886,0.5,False
Energy distance,0.0,1.0,0.05,excess_clipped,-1.0187738896533847,-1.6615294753564231,-0.3163185965770684,0.2,False
MMD-RBF,0.0,1.0,0.05,excess_clipped,-0.6799986011602838,-1.397606889940769,0.17279758333028172,0.26666666666666666,False
KS-max,0.0,1.0,0.05,excess_clipped,-0.386137038493956,-1.4182979064702717,1.0347513270768582,0.2,False
JSD,0.0,1.0,0.05,excess_clipped,-0.2160317378268034,-0.9347189831917297,0.5908442876647361,0.4,False
QK-MMD PauliXZ,0.0,1.0,0.05,excess_clipped,0.3584795676736394,-0.4138793194352715,1.2960743134108734,0.5,False
Energy distance,0.0,1.0,0.1,excess_clipped,-1.8477040293067692,-2.4897803913624856,-1.1426682005913074,0.13333333333333333,False
MMD-RBF,0.0,1.0,0.1,excess_clipped,-1.3188513689872343,-2.034992641444716,-0.4715372261270919,0.13333333333333333,False
KS-max,0.0,1.0,0.1,excess_clipped,-1.1998782436545783,-2.2286136840224504,0.21480550135362544,0.16666666666666666,False
JSD,0.0,1.0,0.1,excess_clipped,-1.0487301423202737,-1.7650211478575457,-0.24083309366494884,0.23333333333333334,False
QK-MMD PauliXZ,0.0,1.0,0.1,excess_clipped,0.4151362186806119,-0.3585869182219905,1.3565616889344623,0.5,False
Energy distance,0.0,2.0,0.0,excess_clipped,-0.38984375,-1.2687825520833333,0.5442903645833331,0.36666666666666664,False
MMD-RBF,0.0,2.0,0.0,excess_clipped,-0.5744791666666667,-1.48728515625,0.40865234374999915,0.3,False
KS-max,0.0,2.0,0.0,excess_clipped,0.09427083333333333,-1.3021158854166666,1.9041666666666666,0.43333333333333335,False
JSD,0.0,2.0,0.0,excess_clipped,0.85,-0.15495442708333332,1.8343815104166667,0.6,False
QK-MMD PauliXZ,0.0,2.0,0.0,excess_clipped,-0.031510416666666666,-0.9815299479166667,1.0219140624999996,0.4666666666666667,False
Energy distance,0.0,2.0,0.01,excess_clipped,-0.555629777930677,-1.4346738780851513,0.37894751559215617,0.3333333333333333,False
MMD-RBF,0.0,2.0,0.01,excess_clipped,-0.7022497202320568,-1.6149539530508086,0.2809184538092575,0.3,False
KS-max,0.0,2.0,0.01,excess_clipped,-0.06847740769879121,-1.4640537564870382,1.7409776015715483,0.43333333333333335,False
JSD,0.0,2.0,0.01,excess_clipped,0.6834603191013059,-0.3211353730118805,1.6674409470146851,0.5666666666666667,False
QK-MMD PauliXZ,0.0,2.0,0.01,excess_clipped,-0.02017908646527212,-0.9705394732284592,1.0329994950588903,0.4666666666666667,False
Energy distance,0.0,2.0,0.05,excess_clipped,-1.2187738896533846,-2.097964158776449,-0.28088218414611305,0.23333333333333334,False
MMD-RBF,0.0,2.0,0.05,excess_clipped,-1.213331934493617,-2.1244685377108055,-0.23108847833947213,0.3,False
KS-max,0.0,2.0,0.05,excess_clipped,-0.7194703718272895,-2.113241925814747,1.0882213411910777,0.26666666666666666,False
JSD,0.0,2.0,0.05,excess_clipped,0.01730159550653001,-0.9848049543551848,0.9989846203455378,0.4666666666666667,False
QK-MMD PauliXZ,0.0,2.0,0.05,excess_clipped,0.025146234340306044,-0.9239270252946782,1.0806662374320681,0.4666666666666667,False
Energy distance,0.0,2.0,0.1,excess_clipped,-2.0477040293067694,-2.9278124079439736,-1.1104538814756384,0.1,False
MMD-RBF,0.0,2.0,0.1,excess_clipped,-1.852184702320567,-2.7595054616430232,-0.8737717441684706,0.23333333333333334,False
KS-max,0.0,2.0,0.1,excess_clipped,-1.5332115769879118,-2.9254093903525993,0.2722401898408807,0.23333333333333334,False
JSD,0.0,2.0,0.1,excess_clipped,-0.8153968089869404,-1.8144102633841006,0.16491732982186133,0.4666666666666667,False
QK-MMD PauliXZ,0.0,2.0,0.1,excess_clipped,0.08180288534727852,-0.8672353777300357,1.1363178172701824,0.4666666666666667,False
Energy distance,0.1,0.0,0.0,excess_clipped,0.22015624999999944,-0.3644348958333337,0.8720911458333327,0.4666666666666667,False
MMD-RBF,0.1,0.0,0.0,excess_clipped,0.5855208333333332,-0.07109765625000032,1.389700520833333,0.5,False
KS-max,0.1,0.0,0.0,excess_clipped,0.7909375,-0.0029218750000001847,1.9085481770833332,0.5333333333333333,False
JSD,0.1,0.0,0.0,excess_clipped,0.4266666666666666,-0.22792057291666679,1.31463671875,0.6,False
QK-MMD PauliXZ,0.1,0.0,0.0,excess_clipped,0.6384895833333334,-0.11913411458333328,1.6035091145833333,0.5,False
Energy distance,0.1,0.0,0.01,excess_clipped,0.05437022206932249,-0.5302926744606756,0.7077576324839595,0.4,False
MMD-RBF,0.1,0.0,0.01,excess_clipped,0.457750279767943,-0.19812787282153227,1.2607019025943171,0.4666666666666667,False
KS-max,0.1,0.0,0.01,excess_clipped,0.6281892589678753,-0.16523701248862582,1.744834519983382,0.4666666666666667,False
JSD,0.1,0.0,0.01,excess_clipped,0.26012698576797266,-0.39528224983681376,1.1486202902330793,0.5666666666666667,False
QK-MMD PauliXZ,0.1,0.0,0.01,excess_clipped,0.6498209135347282,-0.10797311229550187,1.6152245551440083,0.5,False
