method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
qk_mmd_zz,QK-MMD ZZ,30,9.69765625,0.25,1.0,0.0,total
energy_distance,Energy distance,30,9.527980272331625,0.25,1.0,0.01,total
jsd,JSD,30,8.972223508632974,0.25,1.0,0.01,total
ks_max,KS-max,30,9.424161235433072,0.25,1.0,0.01,total
mmd_rbf,MMD-RBF,30,9.632933547966337,0.25,1.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.142529580866219,0.25,1.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,9.530683827734281,0.25,1.0,0.01,total
energy_distance,Energy distance,30,9.523234694991455,0.25,1.0,0.05,total
jsd,JSD,30,8.970492543164873,0.25,1.0,0.05,total
ks_max,KS-max,30,9.407264510498692,0.25,1.0,0.05,total
mmd_rbf,MMD-RBF,30,9.476126073165021,0.25,1.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.429314570997764,0.25,1.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,8.862794138671404,0.25,1.0,0.05,total
energy_distance,Energy distance,30,9.517302723316243,0.25,1.0,0.1,total
jsd,JSD,30,8.968328836329748,0.25,1.0,0.1,total
ks_max,KS-max,30,9.38614360433072,0.25,1.0,0.1,total
mmd_rbf,MMD-RBF,30,9.280116729663375,0.25,1.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.537795808662195,0.25,1.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,8.027932027342807,0.25,1.0,0.1,total
energy_distance,Energy distance,30,8.495833333333334,0.25,2.0,0.0,total
jsd,JSD,30,7.339322916666666,0.25,2.0,0.0,total
ks_max,KS-max,30,8.595052083333334,0.25,2.0,0.0,total
mmd_rbf,MMD-RBF,30,8.972135416666667,0.25,2.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.1875,0.25,2.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,8.29765625,0.25,2.0,0.0,total
energy_distance,Energy distance,30,8.494646938998292,0.25,2.0,0.01,total
jsd,JSD,30,7.338890175299642,0.25,2.0,0.01,total
ks_max,KS-max,30,8.590827902099738,0.25,2.0,0.01,total
mmd_rbf,MMD-RBF,30,8.932933547966337,0.25,2.0,0.01,total
